Disease,Disease_Ar
Drug Reaction,رد فعل للدواء
Malaria,الملاريا
Allergy,حساسية
Hypothyroidism,قلة الوظيفة الدرقية
Psoriasis,صدفية
GERD,ارتجاع معدي مريئي
Chronic cholestasis,انسداد مزمن للصفراء
hepatitis A,(A) التهاب الكبد النوع
Osteoarthristis,التهاب المفاصل العظمي
(vertigo) Paroymsal  Positional Vertigo,(فقدان التوازن) الدوخة الوضعية الباروكسيزمال
Hypoglycemia,انخفاض السكر في الدم
Acne,حب الشباب
Diabetes,السكري
Impetigo,الجذام
Hypertension,ارتفاع ضغط الدم
Peptic ulcer diseae,مرض قرحة المعدة
Dimorphic hemorrhoids(piles),البواسير ثنائية المظهر
Common Cold,نزلة برد
Chicken pox,حمى الحصبة
Cervical spondylosis,تصلب عنق الرحم
Hyperthyroidism,زيادة وظيفة الدرقية
Urinary tract infection,التهاب المسالك البولية
Varicose veins,الدوالي
AIDS,الإيدز
Paralysis (brain hemorrhage),شلل (نزيف في الدماغ)
Typhoid,التيفود
Hepatitis B,(B) التهاب الكبد النوع
Fungal infection,العدوى الفطرية
Hepatitis C,(C) التهاب الكبد النوع
Migraine,الصداع النصفي
Bronchial Asthma,الربو القصبي
Alcoholic hepatitis,التهاب الكبد الكحولي
Jaundice,اليرقان
Hepatitis E,(E) التهاب الكبد النوع
Dengue,حمى الضنك
Hepatitis D,(D) التهاب الكبد النوع
Heart attack,نوبة قلبية
Pneumonia,التهاب الرئة
Arthritis,التهاب المفاصل
Gastroenteritis,التهاب المعدة والأمعاء
Tuberculosis,السل